epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.602,0.90319,0.5558,0.90468,0.9622,0.86438,0.91719,0.60019,1.2046,0.63389,0.97281,0.070184,0.00331288,0.00331288
2,139.978,0.91053,0.55697,0.90865,0.96168,0.86494,0.91568,0.60046,1.20427,0.63105,0.97247,0.0401512,0.00661332,0.00661332
3,201.657,0.88887,0.54166,0.90455,0.96102,0.86646,0.91688,0.60141,1.20469,0.63173,0.97191,0.0100853,0.00988075,0.00988075
4,264.154,0.89999,0.55312,0.90334,0.96123,0.86456,0.9165,0.60059,1.20403,0.63176,0.9723,0.0098515,0.0098515,0.0098515
5,325.653,0.90184,0.54833,0.9043,0.96356,0.86532,0.91705,0.60157,1.20435,0.6321,0.97263,0.009802,0.009802,0.009802
6,387.612,0.88933,0.54296,0.89712,0.96318,0.86379,0.91673,0.60034,1.20428,0.63466,0.97252,0.0097525,0.0097525,0.0097525
7,449.225,0.90289,0.55336,0.90821,0.96164,0.86532,0.9171,0.60239,1.20409,0.63167,0.97234,0.009703,0.009703,0.009703
8,510.745,0.89565,0.54633,0.89935,0.96263,0.86483,0.91708,0.60313,1.20397,0.63215,0.97265,0.0096535,0.0096535,0.0096535
9,572.249,0.90058,0.54635,0.90221,0.96017,0.86449,0.91722,0.60268,1.204,0.63254,0.97184,0.009604,0.009604,0.009604
10,634.43,0.89857,0.5458,0.8988,0.96149,0.86456,0.91674,0.60201,1.20397,0.63204,0.97197,0.0095545,0.0095545,0.0095545
11,694.95,0.8995,0.55102,0.90525,0.96138,0.8643,0.91607,0.6021,1.20435,0.6319,0.97243,0.009505,0.009505,0.009505
12,756.385,0.89476,0.5526,0.90064,0.96223,0.86509,0.91682,0.60147,1.20396,0.63185,0.97236,0.0094555,0.0094555,0.0094555
13,818.019,0.88744,0.54447,0.89969,0.96225,0.86532,0.91706,0.603,1.20418,0.63279,0.97245,0.009406,0.009406,0.009406
14,880.225,0.88995,0.54115,0.89774,0.96283,0.86494,0.91714,0.60232,1.20389,0.63294,0.97272,0.0093565,0.0093565,0.0093565
15,941.979,0.89084,0.54896,0.90586,0.96345,0.86494,0.91712,0.60219,1.20395,0.63192,0.97246,0.009307,0.009307,0.009307
16,1004.68,0.90086,0.54626,0.90435,0.96106,0.86629,0.91713,0.60258,1.20399,0.63295,0.97208,0.0092575,0.0092575,0.0092575
17,1066.41,0.89103,0.54794,0.90264,0.96264,0.86521,0.91714,0.60208,1.20427,0.63263,0.97233,0.009208,0.009208,0.009208
18,1128.55,0.874,0.53966,0.89993,0.96384,0.8645,0.9171,0.60327,1.20439,0.63381,0.97236,0.0091585,0.0091585,0.0091585
19,1190.77,0.90099,0.55044,0.90015,0.96213,0.86456,0.91667,0.60212,1.20447,0.63246,0.97235,0.009109,0.009109,0.009109
20,1252.88,0.88888,0.54359,0.90139,0.9635,0.86616,0.91707,0.60167,1.20425,0.63196,0.97257,0.0090595,0.0090595,0.0090595
21,1314.61,0.90399,0.54709,0.90728,0.96364,0.86532,0.9168,0.60173,1.20407,0.63252,0.97236,0.00901,0.00901,0.00901
22,1376.07,0.89152,0.54606,0.90415,0.96304,0.86498,0.91637,0.60213,1.20398,0.63281,0.97223,0.0089605,0.0089605,0.0089605
