epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9332,0.90317,0.55543,0.90466,0.96224,0.8657,0.9169,0.60252,1.2045,0.63356,0.97302,0.070184,0.00331288,0.00331288
2,103.345,0.91055,0.55667,0.90853,0.96349,0.866,0.91644,0.60123,1.20461,0.63104,0.97296,0.0401512,0.00661332,0.00661332
3,152.807,0.88868,0.54198,0.90447,0.96267,0.86584,0.91673,0.60132,1.20425,0.63116,0.9724,0.0100853,0.00988075,0.00988075
4,202.394,0.90027,0.55344,0.90352,0.96018,0.86483,0.91648,0.60161,1.20438,0.63191,0.97215,0.0098515,0.0098515,0.0098515
5,251.997,0.90184,0.54858,0.90412,0.96242,0.86532,0.91673,0.60129,1.20436,0.63199,0.97259,0.009802,0.009802,0.009802
6,301.493,0.88942,0.54363,0.8972,0.96181,0.86481,0.91597,0.60009,1.20377,0.6322,0.97294,0.0097525,0.0097525,0.0097525
7,351.186,0.90275,0.55329,0.90816,0.9614,0.86481,0.91552,0.60177,1.20413,0.63187,0.97244,0.009703,0.009703,0.009703
8,400.693,0.89578,0.54618,0.89936,0.96179,0.86438,0.9165,0.60316,1.2039,0.63209,0.97267,0.0096535,0.0096535,0.0096535
9,450.145,0.90052,0.54643,0.90223,0.96071,0.86494,0.91712,0.60208,1.2043,0.63114,0.97233,0.009604,0.009604,0.009604
10,499.851,0.89856,0.54569,0.89876,0.96138,0.86419,0.91674,0.6018,1.20421,0.63116,0.97246,0.0095545,0.0095545,0.0095545
11,549.425,0.89932,0.55105,0.90521,0.96224,0.86533,0.91699,0.60234,1.20419,0.63151,0.97239,0.009505,0.009505,0.009505
12,599.035,0.89457,0.55267,0.90062,0.9626,0.86416,0.91651,0.60181,1.20406,0.63169,0.97252,0.0094555,0.0094555,0.0094555
13,648.613,0.88731,0.54467,0.89972,0.96175,0.86608,0.91726,0.60304,1.20417,0.63157,0.97252,0.009406,0.009406,0.009406
14,698.28,0.88998,0.54105,0.89767,0.96266,0.8656,0.91702,0.60315,1.20408,0.63207,0.97286,0.0093565,0.0093565,0.0093565
15,747.904,0.89077,0.5491,0.90589,0.96225,0.86547,0.91702,0.60236,1.20406,0.63187,0.97274,0.009307,0.009307,0.009307
16,797.519,0.90085,0.54611,0.90438,0.96221,0.86462,0.91607,0.60262,1.2041,0.63289,0.97239,0.0092575,0.0092575,0.0092575
17,847.178,0.89093,0.54776,0.90266,0.96265,0.86524,0.91705,0.60258,1.20429,0.63204,0.97248,0.009208,0.009208,0.009208
18,896.793,0.87392,0.53986,0.90001,0.96222,0.86473,0.91641,0.60225,1.2041,0.63252,0.97249,0.0091585,0.0091585,0.0091585
19,946.469,0.90086,0.55058,0.90014,0.96333,0.86379,0.91682,0.60151,1.20443,0.63221,0.9725,0.009109,0.009109,0.009109
20,995.967,0.88887,0.54371,0.90144,0.96283,0.86532,0.91639,0.6019,1.20412,0.63137,0.97268,0.0090595,0.0090595,0.0090595
21,1045.51,0.90385,0.54701,0.90723,0.9625,0.86494,0.91612,0.60179,1.20422,0.63187,0.97255,0.00901,0.00901,0.00901
22,1095.2,0.89149,0.54615,0.90422,0.96236,0.86456,0.91634,0.60226,1.20424,0.63216,0.97252,0.0089605,0.0089605,0.0089605
23,1144.68,0.8981,0.55203,0.90174,0.96225,0.86564,0.91629,0.60161,1.20439,0.6326,0.97244,0.008911,0.008911,0.008911
24,1193.98,0.89518,0.54912,0.9034,0.96242,0.86456,0.91669,0.60267,1.20425,0.63251,0.97253,0.0088615,0.0088615,0.0088615
25,1243.55,0.89217,0.54068,0.90365,0.96304,0.8649,0.91658,0.60242,1.20393,0.63307,0.97278,0.008812,0.008812,0.008812
26,1293.43,0.88611,0.54135,0.89731,0.96255,0.86456,0.9162,0.60181,1.20409,0.63256,0.9726,0.0087625,0.0087625,0.0087625
27,1344.31,0.88967,0.54607,0.90529,0.96101,0.86417,0.91712,0.60201,1.20415,0.63269,0.97225,0.008713,0.008713,0.008713
28,1394.1,0.88393,0.54544,0.90344,0.96263,0.8649,0.91679,0.60162,1.20419,0.63184,0.97229,0.0086635,0.0086635,0.0086635
29,1443.93,0.88822,0.54688,0.90192,0.96439,0.86456,0.91667,0.60268,1.20431,0.63276,0.97247,0.008614,0.008614,0.008614
30,1493.55,0.87709,0.54601,0.90184,0.96208,0.86608,0.91673,0.60341,1.20469,0.63233,0.97249,0.0085645,0.0085645,0.0085645
31,1543.26,0.89805,0.55164,0.90561,0.96414,0.86532,0.91678,0.6023,1.20434,0.6307,0.9726,0.008515,0.008515,0.008515
32,1592.97,0.87842,0.53875,0.89884,0.96343,0.8657,0.91697,0.6037,1.20445,0.63233,0.97273,0.0084655,0.0084655,0.0084655
33,1642.45,0.89012,0.53988,0.89915,0.96378,0.86494,0.91664,0.60318,1.20423,0.63205,0.97274,0.008416,0.008416,0.008416
34,1692.17,0.88888,0.54517,0.90706,0.96426,0.86467,0.91662,0.60316,1.20427,0.63196,0.97242,0.0083665,0.0083665,0.0083665
35,1741.65,0.88675,0.54016,0.9007,0.96177,0.86392,0.91675,0.60302,1.20412,0.63223,0.97237,0.008317,0.008317,0.008317
36,1791.13,0.88959,0.54611,0.90238,0.96291,0.86456,0.91673,0.60293,1.20421,0.63293,0.97235,0.0082675,0.0082675,0.0082675
37,1840.77,0.89047,0.54767,0.90057,0.96177,0.86532,0.91671,0.60132,1.20433,0.63221,0.97226,0.008218,0.008218,0.008218
38,1890.31,0.88633,0.54551,0.89894,0.96145,0.86582,0.91663,0.60246,1.20418,0.63233,0.97265,0.0081685,0.0081685,0.0081685
39,1939.87,0.89541,0.54778,0.90313,0.96325,0.86494,0.91659,0.60196,1.20446,0.63244,0.97255,0.008119,0.008119,0.008119
40,1989.68,0.88533,0.54219,0.89873,0.9626,0.86532,0.91699,0.60362,1.2042,0.63174,0.97247,0.0080695,0.0080695,0.0080695
41,2039.31,0.88627,0.53933,0.90219,0.96183,0.86527,0.91682,0.60288,1.20432,0.63257,0.97241,0.00802,0.00802,0.00802
42,2088.71,0.89574,0.54613,0.90077,0.96428,0.86525,0.9173,0.60389,1.20405,0.63234,0.97222,0.0079705,0.0079705,0.0079705
43,2138.48,0.88549,0.54221,0.90389,0.96262,0.8657,0.91667,0.60297,1.20437,0.63205,0.97229,0.007921,0.007921,0.007921
44,2187.89,0.88146,0.53897,0.89973,0.96419,0.86456,0.91703,0.60332,1.20422,0.63397,0.97233,0.0078715,0.0078715,0.0078715
45,2237.52,0.89563,0.54916,0.90474,0.96214,0.8657,0.91674,0.60376,1.20458,0.63327,0.97282,0.007822,0.007822,0.007822
46,2287.06,0.88719,0.54053,0.90257,0.96294,0.86532,0.91736,0.60328,1.20462,0.63389,0.97227,0.0077725,0.0077725,0.0077725
47,2336.7,0.904,0.55052,0.9062,0.96366,0.86532,0.91687,0.60252,1.2045,0.63315,0.97246,0.007723,0.007723,0.007723
48,2386.27,0.90115,0.5443,0.90389,0.96431,0.86602,0.91774,0.60364,1.20458,0.63421,0.97282,0.0076735,0.0076735,0.0076735
49,2436.18,0.89118,0.54208,0.90126,0.96143,0.86535,0.91747,0.60304,1.20443,0.63378,0.97239,0.007624,0.007624,0.007624
